Station;Assay_start;Treatment_sal;Food_concentration;Volume;Replicate;Day;Nauplii_t0;Nauplii;Copepodites_1-3;Copepodites_4-5;Adults;survived;survived_fraction;comments;females;males
WH;2024-04-19;7;500;200;1;3;20;16;0;0;0;16;0,8;;NA;NA
WH;2024-04-19;7;500;200;2;3;20;14;0;0;0;14;0,7;;NA;NA
WH;2024-04-19;7;500;200;3;3;20;14;0;0;0;14;0,7;;NA;NA
WH;2024-04-19;7;500;200;4;3;20;14;0;0;0;14;0,7;;NA;NA
SW08;2024-04-19;15;500;200;1;7;20;13;4;0;0;17;0,85;;NA;NA
SW08;2024-04-19;15;500;200;2;7;20;12;2;0;0;14;0,7;;NA;NA
SW08;2024-04-19;15;500;200;3;7;20;11;0;0;0;11;0,55;;NA;NA
SW08;2024-04-19;15;500;200;4;7;20;13;2;0;0;15;0,75;;NA;NA
SW08;2024-04-19;7;500;200;1;7;20;7;0;0;0;7;0,35;;NA;NA
SW08;2024-04-19;7;500;200;2;7;20;5;0;0;0;5;0,25;;NA;NA
SW08;2024-04-19;7;500;200;3;7;20;1;0;0;0;1;0,05;;NA;NA
SW08;2024-04-19;7;500;200;4;7;20;6;0;0;0;6;0,3;;NA;NA
WH;2024-04-19;15;500;200;1;7;20;8;3;0;0;11;0,55;;NA;NA
WH;2024-04-19;15;500;200;2;7;20;5;5;0;0;10;0,5;;NA;NA
WH;2024-04-19;15;500;200;3;7;20;9;5;0;0;14;0,7;;NA;NA
WH;2024-04-19;15;500;200;4;7;20;8;5;0;0;13;0,65;;NA;NA
WH;2024-04-19;7;500;200;1;7;20;2;0;0;0;2;0,1;;NA;NA
WH;2024-04-19;7;500;200;2;7;20;4;0;0;0;4;0,2;;NA;NA
WH;2024-04-19;7;500;200;3;7;20;1;0;0;0;1;0,05;;NA;NA
WH;2024-04-19;7;500;200;4;7;20;3;0;0;0;3;0,15;;NA;NA
SW08;2024-04-19;15;500;200;1;10;20;3;13;0;0;16;0,8;;NA;NA
SW08;2024-04-19;15;500;200;2;10;20;0;12;0;0;12;0,6;;NA;NA
SW08;2024-04-19;15;500;200;3;10;20;1;7;0;0;8;0,4;;NA;NA
SW08;2024-04-19;15;500;200;4;10;20;0;13;1;0;14;0,7;;NA;NA
SW08;2024-04-19;7;500;200;1;10;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;2;10;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;3;10;20;1;0;0;0;1;0,05;;NA;NA
SW08;2024-04-19;7;500;200;4;10;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;15;500;200;1;10;20;2;8;0;0;10;0,5;;NA;NA
WH;2024-04-19;15;500;200;2;10;20;0;8;0;0;8;0,4;;NA;NA
WH;2024-04-19;15;500;200;3;10;20;2;11;0;0;13;0,65;;NA;NA
WH;2024-04-19;15;500;200;4;10;20;2;10;0;0;12;0,6;;NA;NA
WH;2024-04-19;7;500;200;1;10;20;1;0;0;0;1;0,05;;NA;NA
WH;2024-04-19;7;500;200;2;10;20;1;0;0;0;1;0,05;;NA;NA
WH;2024-04-19;7;500;200;3;10;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;4;10;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;15;500;200;1;14;20;0;3;6;6;15;0,75;;NA;NA
SW08;2024-04-19;15;500;200;2;14;20;0;0;7;5;12;0,6;;NA;NA
SW08;2024-04-19;15;500;200;3;14;20;0;1;2;5;8;0,4;;NA;NA
SW08;2024-04-19;15;500;200;4;14;20;0;3;7;3;13;0,65;;NA;NA
SW08;2024-04-19;7;500;200;1;14;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;2;14;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;3;14;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;4;14;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;15;500;200;1;14;20;2;1;4;3;10;0,5;;NA;NA
WH;2024-04-19;15;500;200;2;14;20;0;1;2;5;8;0,4;;NA;NA
WH;2024-04-19;15;500;200;3;14;20;0;2;3;5;10;0,5;;NA;NA
WH;2024-04-19;15;500;200;4;14;20;0;1;3;5;9;0,45;;NA;NA
WH;2024-04-19;7;500;200;1;14;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;2;14;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;3;14;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;4;14;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;15;500;200;1;21;20;0;0;0;11;11;0,55;;7;4
SW08;2024-04-19;15;500;200;2;21;20;0;0;0;11;11;0,55;;7;4
SW08;2024-04-19;15;500;200;3;21;20;0;0;0;7;7;0,35;;5;2
SW08;2024-04-19;15;500;200;4;21;20;0;0;0;11;11;0,55;;8;3
SW08;2024-04-19;7;500;200;1;21;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;2;21;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;3;21;20;0;0;0;0;0;0;;NA;NA
SW08;2024-04-19;7;500;200;4;21;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;15;500;200;1;21;20;2;0;0;8;10;0,5;;1;7
WH;2024-04-19;15;500;200;2;21;20;0;0;0;7;7;0,35;;2;5
WH;2024-04-19;15;500;200;3;21;20;0;0;0;9;9;0,45;;2;7
WH;2024-04-19;15;500;200;4;21;20;0;0;0;8;8;0,4;;2;6
WH;2024-04-19;7;500;200;1;21;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;2;21;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;3;21;20;0;0;0;0;0;0;;NA;NA
WH;2024-04-19;7;500;200;4;21;20;0;0;0;0;0;0;;NA;NA
